ID,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10
71,1,1,1,1,1,1,1,1,1,0
461,1,0,1,1,1,1,1,1,1,1
495,1,1,1,1,1,1,1,1,1,0
550,1,1,1,1,0,1,1,1,1,1
681,1,1,1,0,1,1,1,1,1,1
736,1,1,1,1,1,0,1,1,1,1
1161,1,1,1,0,1,1,1,1,1,1
1597,0,1,1,1,1,1,1,1,1,1
2098,1,1,0,1,1,1,1,1,1,1
2226,0,1,1,1,1,1,1,1,1,1
2588,0,1,1,1,1,1,1,1,1,1
2875,1,1,1,1,1,1,0,1,1,1
2987,1,1,1,1,0,1,1,1,1,1
3571,1,1,1,0,1,1,1,1,1,1
3862,1,1,1,1,1,1,1,0,1,1
4081,1,1,1,1,1,0,1,1,1,1
5836,1,1,1,1,1,1,1,1,1,0
5994,1,1,1,1,1,1,1,0,1,1
6503,1,1,1,0,1,1,1,1,1,1
6775,1,1,1,1,1,1,1,0,1,1
6836,1,0,1,1,1,1,1,1,1,1
7038,1,1,1,1,0,1,1,1,1,1
7214,1,1,1,1,1,1,0,1,1,1
7914,1,1,1,1,1,1,1,1,0,1
8176,1,1,1,1,1,1,0,1,1,1
8330,1,1,1,1,1,1,1,0,1,1
8508,1,1,1,0,1,1,1,1,1,1
8624,1,1,1,1,1,0,1,1,1,1
8636,1,1,1,1,1,1,1,0,1,1
8873,1,1,1,1,1,1,1,1,0,1
8983,1,1,1,1,1,1,0,1,1,1
9226,0,1,1,1,1,1,1,1,1,1
9299,1,1,1,1,1,0,1,1,1,1
9522,1,1,1,1,1,1,0,1,1,1
9963,1,1,1,0,1,1,1,1,1,1
10015,0,1,1,1,1,1,1,1,1,1
10122,0,1,1,1,1,1,1,1,1,1
10150,1,1,1,1,1,1,1,0,1,1
10288,1,1,1,1,0,1,1,1,1,1
10377,1,1,1,0,1,1,1,1,1,1
10439,1,1,1,1,1,1,1,1,1,0
10542,1,0,1,1,1,1,1,1,1,1
10580,1,1,1,1,1,1,0,1,1,1
10772,1,1,1,1,1,1,0,1,1,1
10927,0,1,1,1,1,1,1,1,1,1
10963,1,1,0,1,1,1,1,1,1,1
11139,1,1,0,1,1,1,1,1,1,1
11725,1,1,1,1,1,1,1,0,1,1
11785,1,1,1,1,0,1,1,1,1,1
12104,1,1,1,0,1,1,1,1,1,1
12496,1,1,1,1,1,1,0,1,1,1
12530,1,1,1,1,1,0,1,1,1,1
12594,1,1,1,1,1,1,1,0,1,1
12975,1,1,1,1,1,1,1,1,1,0
13209,1,1,1,1,1,1,1,1,1,0
13483,1,1,1,1,1,1,1,0,1,1
13732,1,1,0,1,1,1,1,1,1,1
13873,1,1,0,1,1,1,1,1,1,1
13907,0,1,1,1,1,1,1,1,1,1
13931,1,1,1,0,1,1,1,1,1,1
14179,0,1,1,1,1,1,1,1,1,1
14482,1,1,1,0,1,1,1,1,1,1
14631,1,1,1,1,0,1,1,1,1,1
15289,1,1,1,1,0,1,1,1,1,1
15502,0,1,1,1,1,1,1,1,1,1
15563,1,1,0,1,1,1,1,1,1,1
15590,1,1,1,1,1,1,1,0,1,1
15839,1,1,1,1,0,1,1,1,1,1
15882,1,1,1,1,1,1,0,1,1,1
16682,1,1,1,1,1,1,1,1,1,0
17142,1,1,1,1,1,1,1,1,0,1
17256,1,1,1,1,1,0,1,1,1,1
17361,1,1,1,1,1,1,1,1,1,0
17570,1,1,1,1,1,1,0,1,1,1
18000,1,0,1,1,1,1,1,1,1,1
18087,1,1,1,1,1,1,0,1,1,1
18129,1,0,1,1,1,1,1,1,1,1
18283,1,1,1,1,1,0,1,1,1,1
18519,1,1,1,1,1,1,1,0,1,1
18600,1,1,1,0,1,1,1,1,1,1
18997,1,1,1,1,1,1,1,1,1,0
19197,1,1,1,0,1,1,1,1,1,1
19203,1,1,1,1,0,1,1,1,1,1
19387,1,1,1,1,1,1,0,1,1,1
19735,1,1,1,1,1,0,1,1,1,1
20112,0,1,1,1,1,1,1,1,1,1
20370,1,1,1,1,0,1,1,1,1,1
20401,1,1,1,1,0,1,1,1,1,1
20424,0,1,1,1,1,1,1,1,1,1
21327,1,1,0,1,1,1,1,1,1,1
21364,1,0,1,1,1,1,1,1,1,1
21547,1,1,1,1,1,1,0,1,1,1
21787,1,1,1,1,1,1,1,1,0,1
21946,1,1,1,1,1,0,1,1,1,1
22200,1,1,1,0,1,1,1,1,1,1
22521,1,1,1,1,0,1,1,1,1,1
22603,1,1,1,1,1,1,1,1,1,0
22935,1,1,1,1,1,1,1,1,1,0
23098,0,1,1,1,1,1,1,1,1,1
23171,1,1,0,1,1,1,1,1,1,1
23339,1,1,1,1,1,1,1,0,1,1
23390,1,0,1,1,1,1,1,1,1,1
23414,1,1,1,1,1,1,1,1,1,0
23451,1,1,0,1,1,1,1,1,1,1
23618,1,1,1,1,1,1,0,1,1,1
